number,title,type,state,author,url,created_at,updated_at,organization,repository,contributor
4147,v3 structured dtype: per-field endianness still lost on metadata roundtrip (#4142 covers the write path only; breaks virtual/reference stores),Issue,closed,emfdavid,https://github.com/zarr-developers/zarr-python/issues/4147,2026-07-15T03:57:43Z,2026-07-17T04:17:01Z,zarr-developers,zarr-python,d-v-b
4151,chore(deps): bump the python-dependencies group with 6 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4151,2026-07-16T04:30:02Z,2026-07-23T04:29:41Z,zarr-developers,zarr-python,d-v-b
4152,chore(deps): bump the actions group across 1 directory with 6 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4152,2026-07-16T15:35:30Z,2026-07-17T11:19:05Z,zarr-developers,zarr-python,d-v-b
4153,chore: cleanup indentation and guidance for release,PR,closed,maxrjones,https://github.com/zarr-developers/zarr-python/pull/4153,2026-07-16T16:34:46Z,2026-07-16T17:42:29Z,zarr-developers,zarr-python,d-v-b
4156,buffer aliasing in memory storage w/ no compression,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/4156,2026-07-16T20:24:37Z,2026-07-30T15:34:15Z,zarr-developers,zarr-python,d-v-b
4169,chore(deps): bump pillow from 12.2.0 to 12.3.0,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4169,2026-07-21T15:50:43Z,2026-07-22T21:57:42Z,zarr-developers,zarr-python,d-v-b
4170,arr_1d[np.sort(idx)] can be much faster (CoordinateIndexer fast path),Issue,closed,selmanozleyen,https://github.com/zarr-developers/zarr-python/issues/4170,2026-07-21T17:56:09Z,2026-07-29T13:13:48Z,zarr-developers,zarr-python,d-v-b
4172,perf(indexing): speed up sorted 1-D coordinate selections,PR,closed,selmanozleyen,https://github.com/zarr-developers/zarr-python/pull/4172,2026-07-21T21:14:13Z,2026-07-29T13:13:47Z,zarr-developers,zarr-python,d-v-b
4176,chore(deps): bump setuptools from 82.0.1 to 83.0.0,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4176,2026-07-22T14:07:44Z,2026-07-22T21:42:22Z,zarr-developers,zarr-python,d-v-b
4178,Unergonomic error for when using the FusedCodecPipeline + Sharding with an inner async-only codec,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/4178,2026-07-22T14:53:28Z,2026-07-29T13:20:41Z,zarr-developers,zarr-python,d-v-b
4181,chore(deps): bump the actions group with 3 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4181,2026-07-23T04:25:29Z,2026-07-27T16:11:53Z,zarr-developers,zarr-python,d-v-b
4183,"fix(ArraySpec): proper and robust equality semantics for ArraySpec by checking fill_value for byte-identicality, fixes #3054.",PR,closed,sehoffmann,https://github.com/zarr-developers/zarr-python/pull/4183,2026-07-23T12:06:59Z,2026-07-29T11:43:07Z,zarr-developers,zarr-python,d-v-b
4187,feat: ZipStore accepts open binary file-like objects,PR,closed,jhamman,https://github.com/zarr-developers/zarr-python/pull/4187,2026-07-26T03:50:36Z,2026-07-28T02:31:15Z,zarr-developers,zarr-python,d-v-b
4193,Convert rst double-backtick docstring markup to markdown,PR,closed,jhamman,https://github.com/zarr-developers/zarr-python/pull/4193,2026-07-28T12:36:57Z,2026-08-03T17:15:18Z,zarr-developers,zarr-python,d-v-b
4199,tests/benchmarks/test_e2e.py requires sudo,Issue,closed,sehoffmann,https://github.com/zarr-developers/zarr-python/issues/4199,2026-07-29T10:33:39Z,2026-07-29T11:43:38Z,zarr-developers,zarr-python,d-v-b
4207,docs for subpackage(s),Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-python/issues/4207,2026-07-29T15:45:36Z,2026-07-29T20:44:29Z,zarr-developers,zarr-python,d-v-b
4214,docs: fix link checker errors and warnings; run weekly,PR,closed,maxrjones,https://github.com/zarr-developers/zarr-python/pull/4214,2026-07-30T02:05:29Z,2026-08-03T16:34:35Z,zarr-developers,zarr-python,d-v-b
4215,chore(deps): bump the actions group across 1 directory with 6 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4215,2026-07-30T04:25:34Z,2026-08-06T04:25:49Z,zarr-developers,zarr-python,d-v-b
4216,chore(deps): bump the python-dependencies group across 1 directory with 11 updates,PR,closed,dependabot[bot],https://github.com/zarr-developers/zarr-python/pull/4216,2026-07-30T04:30:45Z,2026-07-30T12:00:38Z,zarr-developers,zarr-python,d-v-b
4220,FsspecStore.from_mapper() fails with DefaultAzureCredential because AzureBlobFileSystem is not JSON serializable,Issue,closed,hginzel,https://github.com/zarr-developers/zarr-python/issues/4220,2026-07-30T19:36:59Z,2026-08-05T14:34:28Z,zarr-developers,zarr-python,d-v-b
