number,title,type,url,engagement_kinds,created_at,updated_at,organization,repository,contributor
2033,http zarr proxy ,Issue,https://github.com/zarr-developers/zarr-python/issues/2033,comment,2024-07-13T17:35:37Z,2026-08-12T10:50:40Z,zarr-developers,zarr-python,d-v-b
2863,Zstd Codec on the GPU,PullRequest,https://github.com/zarr-developers/zarr-python/pull/2863,comment,2025-02-25T16:15:20Z,2026-08-22T12:29:46Z,zarr-developers,zarr-python,d-v-b
2943,Support ZEP 8 URL Syntax,Issue,https://github.com/zarr-developers/zarr-python/issues/2943,comment,2025-04-01T18:07:34Z,2026-07-27T08:31:02Z,zarr-developers,zarr-python,d-v-b
3207,Preventing Deadlocks When Reading Metadata Concurrently via `asyncio.gather`,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3207,comment,2025-07-05T14:32:06Z,2026-07-15T12:27:44Z,zarr-developers,zarr-python,d-v-b
3285,unified runtime type checking for our json data,Issue,https://github.com/zarr-developers/zarr-python/issues/3285,comment,2025-07-23T08:58:19Z,2026-08-13T15:06:54Z,zarr-developers,zarr-python,d-v-b
3450,Fix nightly-wheel tag,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3450,comment,2025-09-12T16:25:38Z,2026-07-23T20:38:30Z,zarr-developers,zarr-python,d-v-b
3516,Writing dask arrays to a ZipStore causes a corrupt zip file,Issue,https://github.com/zarr-developers/zarr-python/issues/3516,comment,2025-10-10T00:23:36Z,2026-07-20T17:32:29Z,zarr-developers,zarr-python,d-v-b
3524,Array indexing with Zarr 3 is noticeably slower than with Zarr 2,Issue,https://github.com/zarr-developers/zarr-python/issues/3524,comment,2025-10-15T08:18:31Z,2026-07-30T19:18:26Z,zarr-developers,zarr-python,d-v-b
3547,feat!: store-defined concurrency limits,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3547,comment,2025-10-24T19:35:07Z,2026-07-23T12:17:14Z,zarr-developers,zarr-python,kylebarron
3580,Resizing an array in a ZipFileStore will lead to many duplicate entries for zarr.json in the ZipFile.,Issue,https://github.com/zarr-developers/zarr-python/issues/3580,comment,2025-11-11T13:42:41Z,2026-07-31T06:44:51Z,zarr-developers,zarr-python,d-v-b
